initial_cutloss_pct,breakeven_trigger_pct,breakeven_lock_pct,atr_multiplier,min_dollar_vol,freeze_days,trade_count,win_rate_pct,sum_return_pct,profit_factor,max_drawdown_pct
0.03,0.06,0.01,1.5,500000.0,0,991,25.731584258324926,849.6671762465423,1.3641317808713436,-176.4394867457404
0.03,0.06,0.01,1.5,500000.0,10,651,25.960061443932414,540.8298786567312,1.34892695555795,-134.2496193766919
0.03,0.06,0.01,1.5,500000.0,20,516,27.906976744186046,635.3702557506964,1.5336251195455723,-175.29270922328783
0.03,0.06,0.01,1.5,500000.0,30,460,25.43478260869565,102.23986137893343,1.0921398875517405,-241.14190159705055
0.03,0.06,0.01,1.5,1000000.0,0,965,26.21761658031088,818.6992511927963,1.362866459749911,-168.56425282619261
0.03,0.06,0.01,1.5,1000000.0,10,633,26.38230647709321,478.60240415954024,1.3194588915042353,-126.40468848744712
0.03,0.06,0.01,1.5,1000000.0,20,501,28.343313373253494,562.7678609296635,1.489691929513976,-181.54259792868027
0.03,0.06,0.01,1.5,1000000.0,30,446,26.00896860986547,50.76042843113795,1.047520650504775,-222.26882842920543
0.03,0.06,0.01,1.5,5000000.0,0,811,25.893958076448833,564.8080458453434,1.2989137798040373,-195.47503465684326
0.03,0.06,0.01,1.5,5000000.0,10,528,25.946969696969695,467.30920205264255,1.3744707003822492,-135.5287016182162
0.03,0.06,0.01,1.5,5000000.0,20,424,29.245283018867923,542.7348031337408,1.5687675241931203,-162.4639463788779
0.03,0.06,0.01,1.5,5000000.0,30,374,26.47058823529412,153.0361836411473,1.1727904635784965,-200.09329543441308
0.03,0.06,0.01,2.0,500000.0,0,951,25.55205047318612,752.7555366446161,1.3313636825459452,-181.10749933924217
0.03,0.06,0.01,2.0,500000.0,10,636,25.78616352201258,300.16424378786434,1.196103148703413,-211.30513759148985
0.03,0.06,0.01,2.0,500000.0,20,504,27.579365079365083,548.5253819339661,1.4641543184674997,-256.54935764841156
0.03,0.06,0.01,2.0,500000.0,30,453,25.386313465783665,-25.766160243452113,0.9766953582149289,-300.1711474722764
0.03,0.06,0.01,2.0,1000000.0,0,925,26.054054054054056,734.7835585627893,1.335181795451754,-162.0140264789377
0.03,0.06,0.01,2.0,1000000.0,10,618,26.051779935275082,247.32348326444563,1.1670469394728202,-195.37367735599358
0.03,0.06,0.01,2.0,1000000.0,20,489,28.016359918200408,489.30970108670533,1.4295706983447172,-258.61179998871876
0.03,0.06,0.01,2.0,1000000.0,30,439,25.968109339407746,-67.04632558256024,0.9369223051975306,-281.29807430443134
0.03,0.06,0.01,2.0,5000000.0,0,773,25.74385510996119,593.6663519576135,1.3250505779677766,-192.40511746255004
0.03,0.06,0.01,2.0,5000000.0,10,512,25.5859375,308.40893352732803,1.2517277863930265,-213.07570523811023
0.03,0.06,0.01,2.0,5000000.0,20,411,28.953771289537713,517.9330318383211,1.5516262616599237,-220.98703594662828
0.03,0.06,0.01,2.0,5000000.0,30,365,26.301369863013697,97.25166382992377,1.1111107916482579,-245.6733102623407
0.03,0.06,0.01,2.5,500000.0,0,907,25.689084895259096,963.3324100870168,1.4458566793088399,-271.57036613931984
0.03,0.06,0.01,2.5,500000.0,10,609,26.272577996715928,680.6865759466801,1.4674404542786512,-281.20823193619185
0.03,0.06,0.01,2.5,500000.0,20,488,27.049180327868854,857.3653314777534,1.7453385703774444,-297.16930551119003
0.03,0.06,0.01,2.5,500000.0,30,437,25.171624713958813,433.4732323448693,1.4058156847784489,-331.5991678237432
0.03,0.06,0.01,2.5,1000000.0,0,881,26.220204313280366,950.1438664012616,1.4565504470716244,-244.23982078738834
0.03,0.06,0.01,2.5,1000000.0,10,591,26.56514382402707,637.0841269304922,1.4530802454106166,-268.5454274490088
0.03,0.06,0.01,2.5,1000000.0,20,473,27.48414376321353,807.3879621377239,1.7289551535098273,-299.2317478514972
0.03,0.06,0.01,2.5,1000000.0,30,423,25.768321513002363,401.4313785129917,1.3914700324945086,-312.726094655898
0.03,0.06,0.01,2.5,5000000.0,0,735,26.122448979591837,741.7556938228641,1.4302713004478285,-259.32834392939185
0.03,0.06,0.01,2.5,5000000.0,10,493,25.760649087221093,474.91177041065265,1.4044126117061102,-279.5739307482081
0.03,0.06,0.01,2.5,5000000.0,20,399,28.57142857142857,685.6012236126186,1.7508902304209235,-262.86319278484666
0.03,0.06,0.01,2.5,5000000.0,30,353,26.345609065155806,391.01713702775066,1.4636208575748022,-278.3575395892474
0.03,0.06,0.01,3.0,500000.0,0,882,25.283446712018144,1460.0883589963503,1.6967771326100538,-368.92101030644994
0.03,0.06,0.01,3.0,500000.0,10,597,25.963149078726964,1127.1110674569377,1.7917337422972788,-286.1841851432597
0.03,0.06,0.01,3.0,500000.0,20,478,26.778242677824267,1384.3624223701752,2.231691471389138,-271.4231270906396
0.03,0.06,0.01,3.0,500000.0,30,431,24.825986078886313,666.6534279165401,1.6344234111331477,-274.92208352655507
0.03,0.06,0.01,3.0,1000000.0,0,854,25.878220140515225,1380.3404820168514,1.6867978627530964,-340.2951525691942
0.03,0.06,0.01,3.0,1000000.0,10,579,26.42487046632124,1014.7773318915805,1.7404341097529656,-272.1138829615596
0.03,0.06,0.01,3.0,1000000.0,20,463,27.429805615550755,1265.6537664809757,2.1738087615451613,-258.5500539227944
0.03,0.06,0.01,3.0,1000000.0,30,417,25.65947242206235,590.1539175465269,1.5871622778815482,-259.0490103587098
0.03,0.06,0.01,3.0,5000000.0,0,715,26.013986013986013,947.6503629625304,1.5673057364055332,-301.1490671729225
0.03,0.06,0.01,3.0,5000000.0,10,485,25.56701030927835,631.4050344731227,1.5501366914202517,-260.2867224677324
0.03,0.06,0.01,3.0,5000000.0,20,391,28.644501278772378,868.9305445755402,1.9799597053019506,-229.72289342896727
0.03,0.06,0.01,3.0,5000000.0,30,349,26.36103151862464,354.28803330372614,1.4288954288747462,-232.22184986488276
0.03,0.06,0.02,1.5,500000.0,0,1003,25.822532402791627,781.9954795732634,1.3298429909614122,-181.21221756049624
0.03,0.06,0.02,1.5,500000.0,10,655,25.80152671755725,567.5393797622922,1.3623424347107043,-132.24961937669195
0.03,0.06,0.02,1.5,500000.0,20,517,27.659574468085108,619.0417591341508,1.5154410515986734,-173.25407384321352
0.03,0.06,0.02,1.5,500000.0,30,461,25.379609544468547,127.23920618273254,1.1139174567926524,-242.74222744563113
0.03,0.06,0.02,1.5,1000000.0,0,977,26.305015353121803,751.6667015956033,1.3277227632248554,-174.06502709050199
0.03,0.06,0.02,1.5,1000000.0,10,637,26.21664050235479,505.9510523411866,1.3340730370683413,-124.40468848744706
0.03,0.06,0.02,1.5,1000000.0,20,502,28.087649402390436,547.0785113892031,1.471800460370271,-180.14292377726093
0.03,0.06,0.02,1.5,1000000.0,30,447,25.95078299776286,76.39892031102242,1.0710355459226562,-223.86915427778604
0.03,0.06,0.02,1.5,5000000.0,0,820,26.21951219512195,529.732732455177,1.2766675444341353,-208.57418573096794
0.03,0.06,0.02,1.5,5000000.0,10,532,25.93984962406015,484.54578439331897,1.3832686708960187,-138.03934485733663
0.03,0.06,0.02,1.5,5000000.0,20,425,28.941176470588236,488.16301591407137,1.5045320196939116,-162.63126838651579
0.03,0.06,0.02,1.5,5000000.0,30,376,26.329787234042552,120.52253062669482,1.1345115407224498,-203.26061744205097
0.03,0.06,0.02,2.0,500000.0,0,963,25.649013499480787,732.0064819981947,1.317010054142668,-180.56455398185392
0.03,0.06,0.02,2.0,500000.0,10,640,25.624999999999996,355.2217810262652,1.2296240479517355,-209.77666058741596
0.03,0.06,0.02,2.0,500000.0,20,507,27.613412228796847,534.1892097570794,1.448107639763494,-246.97424198785586
0.03,0.06,0.02,2.0,500000.0,30,454,25.33039647577093,16.00106466901456,1.0143771640032455,-295.5960318117207
0.03,0.06,0.02,2.0,1000000.0,0,937,26.147278548559232,713.0345039163676,1.3198038253595217,-173.70443140894315
0.03,0.06,0.02,2.0,1000000.0,10,622,25.884244372990356,301.3810205028466,1.2013382201671146,-192.7063584057159
0.03,0.06,0.02,2.0,1000000.0,20,492,28.04878048780488,474.97352890981864,1.413238496491125,-249.03668432816306
0.03,0.06,0.02,2.0,1000000.0,30,440,25.90909090909091,-25.279100670093506,0.9763800368723344,-276.7229586438754
0.03,0.06,0.02,2.0,5000000.0,0,782,26.08695652173913,590.7069339430103,1.3190359820765072,-175.32733103151895
0.03,0.06,0.02,2.0,5000000.0,10,516,25.581395348837212,345.34141297079077,1.2781657950694085,-213.54722823403637
